[2025-08-22 12:40:19] [INFO] Baza danych zainicjalizowana
[2025-08-22 12:40:19] [INFO] Przywrócono 201 zadań do kolejki
[2025-08-22 12:40:19] [INFO] 🚀 Worker pobierania uruchomiony
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 133, 'item_id': '400765849', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E01.mp4', 'title': 'Wednesday - S01E01.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 134, 'item_id': '400765850', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E02.mp4', 'title': 'Wednesday - S01E02.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 135, 'item_id': '400765851', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E03.mp4', 'title': 'Wednesday - S01E03.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 136, 'item_id': '400765852', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E04.mp4', 'title': 'Wednesday - S01E04.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 137, 'item_id': '400765853', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E05.mp4', 'title': 'Wednesday - S01E05.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 138, 'item_id': '400765854', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E06.mp4', 'title': 'Wednesday - S01E06.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 139, 'item_id': '400765855', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E07.mp4', 'title': 'Wednesday - S01E07.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 142, 'item_id': '400765858', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E10.mp4', 'title': 'Wednesday - S01E10.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 143, 'item_id': '400765859', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E11.mp4', 'title': 'Wednesday - S01E11.mp4', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 144, 'item_id': '400765860', 'url': None, 'output_path': '/downloads/series/Wednesday (2022)/Season 01/Wednesday - S01E12.mp4', 'title': 'Wednesday - S01E12.mp4', 'item_type': 'series'}
